name,author,description,book_id,genre
Glass,ELLEN HOPKINS,"Kristina is determined to defeat her crystal-meth addiction in order to keep her newborn child, but when she is unable to manage her use of the drug and the pull becomes too strong, her greatest fears are quickly realized.",1443,"['Young Adult', 'Poetry', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Teen']"
Memories of My Melancholy Whores,GABRIEL GARCÍA MÁRQUEZ,,1444,"['Fiction', 'Classics', 'Romance', 'Literature', 'Magical Realism', 'Novels', 'Latin American']"
Only Time Will Tell,JEFFREY ARCHER,"From the internationally bestselling author of Kane and Abel and A Prisoner of Birth comes Only Time Will Tell, the first in an ambitious new series that tells the story of one family across generations, across oceans, from heartbreak to triumph.",1445,"['Fiction', 'Historical Fiction', 'Audiobook', 'Historical', 'Mystery', 'Thriller', 'Drama']"
The Seven Spiritual Laws of Success,DEEPAK CHOPRA,"Based on natural laws which govern all of creation, this book shatters the myth that success is the result of hard work, exacting plans, or driving ambition. In The Seven Spiritual Laws of Success, Deepak Chopra offers a life-altering perspective on the attainment of success: Once we understand our true nature and learn to live in harmony with natural law, a sense of well-being, good health, fulfilling relationships, energy and enthusiasm for life, and material abundance will spring forth easily and effortlessly. Filled with timeless wisdom and practical steps you can apply right away, this is a book you will want to read and refer to again and again.",1446,"['Spirituality', 'Self Help', 'Nonfiction', 'Philosophy', 'Personal Development', 'Psychology', 'Inspirational']"
Possible Side Effects,AUGUSTEN BURROUGHS,A collection of amusing essays in which the author shares incidents from his childhood and sometimes complicated life as an adult.,1447,"['Memoir', 'Nonfiction', 'Humor', 'Short Stories', 'Essays', 'Biography', 'Biography Memoir']"
In the Hand of the Goddess,TAMORA PIERCE,"From Tamora Pierce, the second book in the Song of the Lioness Quartet, honored with the Margaret A. Edwards Award. Alanna, disguised as a boy, becomes a squire to none other than the heir to the throne. Prince Jonathan is not only Alanna’s liege lord, he is also her best friend—and one of the few who knows the secret of her true identity. But when a vicious sorcerer threatens the prince’s life, it will take all of Alanna’s skill, strength, and magical power to protect him, even at the risk of surrendering her dreams…",1448,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Young Adult Fantasy', 'Romance']"
Ruby Red,KERSTIN GIER,"Gwyneth Shepherd's sophisticated, beautiful cousin Charlotte has been prepared her entire life for traveling through time. But unexpectedly, it is Gwyneth who in the middle of class takes a sudden spin to a different era! Gwyneth must now unearth the mystery of why her mother would lie about her birth date to ward off suspicion about her ability, brush up on her history, and work with Gideon--the time traveler from a similarly gifted family that passes the gene through its male line, and whose presence becomes, in time, less insufferable and more essential. Together, Gwyneth and Gideon journey through time to discover who, in the 18th century and in contemporary London, they can trust. Kerstin Gier's Ruby Red is young adult novel full of fantasy and romance.",1449,"['Fantasy', 'Young Adult', 'Time Travel', 'Romance', 'Historical Fiction', 'Fiction', 'Science Fiction']"
Shadowland,ALYSON NOËL,"Enter the realm of the Immortals—the #1 New York Times bestselling series from Alyson Noël that's been acclaimed as breathtaking, mesmerizing, flawless and extraordinary. Ever and Damen have traveled through countless past lives—and fought off the world's darkest enemies—so they could be together forever. But just when their long-awaited destiny is finally within reach, a powerful curse falls upon Damen...one that could destroy everything. Now a single touch of their hands or a soft brush of their lips could mean sudden death—plunging Damen into the Shadowland. Desperate to break the curse and save Damen, Ever immerses herself in magick—and gets help from an unexpected source...a surfer named Jude. Although she and Jude have only just met, he feels startlingly familiar. Despite her fierce loyalty to Damen, Ever is drawn to Jude, a green-eyed golden boy with magical talents and a mysterious past. She's always believed Damen to be her soulmate and one true love—and she still believes it to be true. But as Damen pulls away to save them, Ever's connection with Jude grows stronger—and tests her love for Damen like never before...",1450,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fiction', 'Supernatural']"
The Firebirds,BEVERLY BYRNE,"Completes Byrne's exciting trilogy that began with A Lasting Fire (7/91) and The Flames of Vengeance (12/91). From New York's hectic streets to the gracious manors of the English aristocracy to the sun-drenched palaces of southern Spain, echoes of the past ignite a blaze in the present--and only the firebirds will rise triumphant from the ashes.",1451,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Audiobook', 'Science Fiction Fantasy']"
Lioness Rampant,TAMORA PIERCE,"The final book in Pierce's fantasy quartet is now available in this hardcover edition. Alanna of Trebond must win the Dominion Jewel, a legendary gem with enormous power for good--and the one thing that can save her war-torn nation. But her archenemy returns from the dead to disrupt her exalted destiny.",1452,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Young Adult Fantasy', 'Adventure', 'Romance']"
Marya,JOYCE CAROL OATES,Advance uncorrected proofs of first edition of title: Marya: a life.,1453,"['Fiction', 'Thriller', 'Mystery', 'Medical', 'Horror', 'Science Fiction', 'Mystery Thriller']"
Heal Your Body,LOUISE L. HAY,,1454,"['Self Help', 'Nonfiction', 'Spirituality', 'Health', 'Psychology', 'Personal Development', 'Inspirational']"
I Am Legend,RICHARD MATHESON,"Robert Neville is the last living man on earth ... but he is not alone. Every other man, woman and child on the planet has become a vampire, and they are all hungry for Neville¿s blood. By day he is the hunter, stalking the sleeping undead through the abandoned ruins of civilization. By night, he barricades himself in his home and prays for the dawn. How long can one man survive like this?",1455,"['Horror', 'Science Fiction', 'Fiction', 'Vampires', 'Post Apocalyptic', 'Fantasy', 'Dystopia']"
Dealing with Dragons,PATRICIA C. WREDE,"The first two volumes of Patricia C. Wrede's beloved, bestselling Enchanted Forest Chronicles!",1456,"['Fantasy', 'Young Adult', 'Dragons', 'Fiction', 'Middle Grade', 'Childrens', 'Magic']"
Running Blind,LEE CHILD,"Women are being murdered nationwide by a killer who leaves no trace of evidence, no fatal wounds, no signs of struggle, and no clues to an apparent motive. All the victims have one thing in common: they each knew Jack Reacher.",1457,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Audiobook', 'Action', 'Suspense']"
Combat Corpsman,GREG MCPARTLIN,"All his life, Greg McPartlin wanted to be a Marine corpsman, a medic skilled at saving lives. Three months of ""bagging-and-tagging"" bodies during Vietnam's Tet Offensive took the luster off being a Marine-but not off McPartlin's desire to serve his country. After assisting in the sea-recovery of Apollo 11-the first ship to bring men to the moon-the twenty-year-old McPartlin was redeployed to Vietnam as an elite Navy SEAL. Barred as a medic by the Geneva Convention from the make-or-break training considered vital to service as a Navy SEAL, McPartlin had to show he had what it took. In a war where soldiers partied with their buddies in Saigon one day and crawled through an enemy-infested jungle hell the next, McPartlin proved that he was not only an outstanding medic but a real Navy SEAL-the toughest of the tough. Combat Corpsman is McPartlin's account of his year in what had been a Viet Cong stronghold until the SEALs took control. It's the first inside story of a Navy SEAL medic, a man who wanted to heal-not to kill-but did both to save lives.",1458,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']"
Ashes to Ashes,TAMI HOAG,"The Cremator has already claimed three victims, and there's only one witness, who's not talking. Kate Conlan is experienced at dealing with traumatized witnesses, but this is her toughest assignment to date, until John Quinn is put on the case.",1459,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Crime', 'Mystery Thriller', 'Romantic Suspense']"
